no2_concentration,cars_per_hour,wind_speed,wind_direction
3.71844,7.6912,4.8,74.4
3.1000900000000002,7.6989399999999995,3.5,56.0
3.31419,4.812180000000001,0.9,281.3
4.38826,6.95177,1.7,74.0
4.3464,7.51806,2.6,65.0
4.16044,7.67183,1.6,224.2
4.01277,5.52545,1.6,211.9
2.15176,4.68213,3.8,63.1
3.157,7.15618,5.2,64.5
2.37955,4.74493,3.0,58.3
3.8329800000000005,5.81114,1.8,78.0
4.48187,8.10892,1.2,215.0
4.0483,8.31385,4.0,230.4
4.00186,5.2203599999999994,2.4,82.7
3.2308,6.408530000000001,3.0,235.0
4.67189,7.3192,0.8,282.4
2.73437,6.6174,4.1,88.0
3.49651,7.76938,7.1,9.3
3.67122,6.4677,2.5,277.0
3.6737699999999998,7.650639999999999,3.4,70.0
3.15274,7.750610000000001,4.5,307.0
3.42751,5.181780000000001,0.4,230.0
4.32413,7.639639999999999,4.3,41.4
3.65584,8.00703,6.0,62.5
3.93183,7.753189999999999,2.5,83.0
2.28238,4.65396,4.9,58.5
4.13035,6.67582,1.6,104.5
3.7796300000000005,7.796880000000001,4.8,223.0
3.97968,8.02224,0.8,201.6
3.7542,7.488289999999999,4.2,285.0
3.45632,7.75148,4.9,149.0
2.36085,6.124680000000001,3.2,73.0
4.23411,7.712439999999999,1.8,273.9
2.2192,7.56941,3.1,56.0
4.53475,7.35947,1.3,64.6
2.10413,7.99564,6.5,42.8
4.5819,8.30251,0.5,207.9
4.03247,5.95584,1.1,89.9
3.21084,6.74052,2.8,77.0
4.04655,6.45205,0.6,57.0
3.9454599999999997,6.3935900000000006,4.4,80.0
3.8918199999999996,7.16317,0.9,274.0
3.22287,7.643,4.3,322.0
3.3569,5.93754,2.1,65.0
3.3178199999999998,7.61923,4.8,136.9
3.8155099999999997,8.34854,7.7,219.0
3.45632,8.1274,5.1,266.6
2.66723,6.83626,7.5,220.0
3.76815,5.27811,3.3,251.0
2.87356,5.68358,2.1,220.4
3.48431,7.760039999999999,0.5,176.0
2.9285200000000002,6.30079,2.0,289.1
3.3214300000000003,5.52146,1.0,9.0
4.35543,7.79811,1.7,246.1
3.7329,6.14419,1.2,56.0
2.70805,6.54965,2.8,66.0
2.4248,5.64545,7.1,69.5
3.45632,6.632000000000001,3.9,212.0
4.26127,7.64012,2.4,249.0
2.57261,6.865889999999999,6.9,50.0
3.79549,6.6896,0.6,252.0
4.08429,7.367710000000001,1.7,91.0
5.11259,7.6256,1.0,188.9
3.37417,5.505330000000001,6.3,186.0
4.13035,8.06778,2.8,43.5
4.3592699999999995,7.76345,5.7,199.0
4.276669999999999,8.25713,5.5,216.0
2.69463,5.57595,4.6,62.3
4.04655,7.93487,1.8,255.5
3.9120199999999996,6.32972,1.6,275.0
3.1945799999999998,4.83628,1.7,63.1
4.01998,7.78322,2.2,40.5
3.2068,7.67276,1.5,53.1
3.8111,8.220130000000001,3.5,82.0
3.8753599999999997,7.53155,3.3,179.3
4.43438,7.839919999999999,6.9,81.7
2.8564700000000003,5.0626,2.1,216.0
4.2312,8.17245,5.9,214.0
4.110869999999999,8.24905,1.3,215.0
3.48124,6.530880000000001,2.1,83.0
4.10099,8.18702,0.9,245.9
3.32504,7.81682,4.0,43.4
4.75014,7.624619999999999,2.0,283.1
2.62467,7.236339999999999,3.5,62.0
3.9926800000000005,7.98718,5.3,227.0
3.95316,7.411560000000001,6.8,197.2
3.89589,7.916810000000001,1.6,21.0
5.115,7.84463,1.0,174.0
2.11626,4.68213,4.4,66.2
3.7111300000000003,8.21311,9.3,213.9
4.3399,6.1506,1.3,337.0
2.00148,6.293419999999999,4.3,98.0
4.2312,5.8944,1.9,164.0
3.96651,6.570880000000001,0.8,89.0
4.14155,8.3163,1.2,265.0
4.21065,7.830030000000001,0.8,110.7
4.54223,8.26178,3.4,248.0
3.9279,5.47227,3.6,76.7
2.9391599999999998,6.530880000000001,3.8,64.3
2.5177,7.0775,4.9,229.0
3.3978599999999997,4.77912,0.9,311.0
3.1945799999999998,5.7462,5.1,82.0
3.82864,4.77912,1.1,291.0
1.335,5.476459999999999,4.4,5.8
4.448519999999999,7.87131,1.3,85.0
3.71601,7.195189999999999,5.0,66.3
1.7917599999999998,4.89035,6.3,45.1
4.75617,7.82724,1.7,70.8
3.8877300000000004,5.710430000000001,1.0,211.0
2.95491,4.8040199999999995,5.0,80.0
4.31482,7.93164,8.1,209.1
4.12066,8.17527,2.8,52.4
3.37759,5.76205,0.4,145.0
3.9908300000000003,7.029089999999999,2.6,73.0
4.110869999999999,7.62217,2.9,213.0
3.01062,7.173960000000001,7.8,49.0
4.10759,7.5475,0.3,289.0
2.54945,5.5294300000000005,7.5,3.0
1.5040799999999999,5.86079,3.6,49.0
3.57235,7.327780000000001,4.6,359.0
4.5633099999999995,8.1778,1.4,86.0
4.38577,7.7323699999999995,0.6,91.0
3.4404199999999996,6.795710000000001,3.7,56.9
1.7227700000000001,6.06146,4.8,44.8
4.29729,7.6353,1.6,226.6
3.35341,7.04925,3.1,225.0
4.3386,7.678789999999999,4.4,297.1
2.99072,6.93925,5.5,238.0
4.237,6.3315,1.6,251.6
4.5819,8.26256,0.7,161.0
4.17285,7.91498,1.8,222.0
3.56105,6.39024,0.6,177.0
3.16548,6.3403599999999996,2.9,60.6
4.39198,7.91206,4.5,76.0
3.01062,7.967280000000001,2.2,44.0
4.40672,7.83637,0.5,296.0
4.29729,8.21203,2.2,73.0
2.64617,5.44674,2.9,220.9
3.84588,7.66763,5.8,42.1
4.62399,7.593369999999999,3.2,59.7
3.68888,6.52649,6.1,68.9
3.7909800000000002,8.31899,2.7,209.9
3.96081,7.32712,4.3,214.1
4.51196,7.25276,1.4,78.9
3.8264699999999996,7.9848,2.1,48.0
4.588019999999999,6.64509,1.1,145.8
3.02529,7.05531,3.3,302.8
3.66356,7.803439999999999,2.9,189.0
3.48431,7.612830000000001,4.2,278.9
2.55723,7.67555,9.9,249.0
4.83787,8.195889999999999,0.8,247.2
4.30271,8.13124,6.5,58.1
3.2542400000000002,6.927560000000001,4.2,207.0
3.8586199999999997,7.52348,6.0,191.0
4.216559999999999,7.0076,1.5,76.0
4.08261,8.19616,0.4,270.5
2.5337,4.812180000000001,4.7,75.9
3.6109199999999997,7.614310000000001,3.9,107.0
3.4594699999999996,7.940580000000001,5.6,64.0
3.23475,7.4378,1.6,205.0
3.8480199999999996,8.01334,2.3,245.0
3.23868,4.54329,3.7,80.0
4.23555,7.974880000000001,3.5,34.5
2.87356,7.236339999999999,4.3,64.3
4.4176400000000005,8.25192,3.5,77.0
4.14155,7.57147,1.8,108.0
3.14845,6.74993,2.0,231.8
2.4248,4.56435,1.4,76.8
4.02535,6.955589999999999,1.3,236.0
4.216559999999999,7.5974,0.8,113.3
3.4657400000000003,5.88888,1.0,151.6
2.83321,5.64191,2.5,229.0
2.44235,6.4151,4.0,68.2
4.16667,7.8594100000000005,2.2,227.0
4.22244,5.863630000000001,0.6,142.0
4.60717,7.82285,2.3,8.0
1.62924,5.505330000000001,4.3,156.0
4.3,8.19864,3.4,186.0
2.73437,6.12249,2.9,196.0
4.89933,7.98071,3.1,78.8
4.07414,7.9179,2.5,212.0
4.02356,7.714230000000001,3.2,39.9
4.25135,7.9589300000000005,3.7,40.8
3.65325,7.616280000000001,2.9,192.0
4.26549,5.17615,2.2,219.0
4.47506,7.29029,2.3,85.5
3.16969,7.82084,3.7,244.0
2.80336,6.87316,7.0,191.0
3.6938699999999995,7.96207,2.8,317.0
3.8856800000000002,6.92166,0.5,71.0
4.35414,7.6834,2.9,74.0
4.4128,7.2100800000000005,1.8,2.0
3.08649,4.84419,3.5,81.8
4.37827,8.195889999999999,2.0,211.7
3.8753599999999997,6.86485,1.5,231.5
4.05352,7.791939999999999,4.1,207.6
4.19117,5.77144,0.4,240.4
3.10459,8.21906,5.5,231.4
4.19117,7.712439999999999,2.7,78.0
4.25561,7.860189999999999,2.6,243.1
3.18221,6.8977,4.8,72.0
2.72785,7.18992,4.1,159.0
4.28496,7.79975,0.8,80.0
3.09558,5.54126,2.2,212.0
4.39198,7.942010000000001,1.3,240.0
3.24649,5.20401,1.5,80.5
4.27528,7.42536,1.5,273.1
2.7850099999999998,6.643789999999999,1.9,74.2
3.79549,7.830030000000001,4.3,30.4
4.15261,5.17615,0.4,183.1
4.07244,6.53669,2.0,70.6
4.36055,7.64588,1.5,243.2
3.07269,7.61825,2.8,133.1
2.7972799999999998,4.624969999999999,2.9,73.0
3.59731,7.46851,0.7,165.1
4.55703,7.74803,2.0,85.0
4.70863,7.527260000000001,3.3,60.5
4.3108,7.887580000000001,4.7,47.2
3.59182,6.80351,3.6,73.0
4.1447199999999995,7.80098,4.5,203.2
3.02042,7.96346,3.2,268.0
3.17388,6.9147300000000005,4.6,199.0
4.30676,7.80262,5.7,81.0
3.8155099999999997,7.51152,3.0,89.8
2.83908,7.470219999999999,2.6,262.0
3.83945,5.273,3.8,79.0
3.8565099999999997,8.14989,3.0,234.0
4.2485,6.61607,0.4,122.3
2.9652700000000003,6.47851,3.2,218.0
4.53045,7.5974,1.3,233.0
3.21487,7.173189999999999,5.6,65.5
3.12676,4.919980000000001,3.9,72.0
3.50255,7.2312899999999996,3.8,207.9
4.51196,7.5663100000000005,3.5,65.1
3.3673,7.65728,2.5,60.8
4.42963,6.65028,0.5,325.6
4.039540000000001,8.08887,1.9,240.7
4.1463,5.93754,0.9,111.7
1.9740799999999998,5.43372,4.7,27.5
3.7658400000000003,7.7731699999999995,3.7,211.7
4.016380000000001,6.3935900000000006,1.2,73.7
3.09104,7.855160000000001,5.2,69.0
4.07073,7.3343300000000005,0.8,212.0
3.94158,7.6482600000000005,4.4,229.0
3.43076,7.662000000000001,2.9,23.0
3.627,7.7253300000000005,4.1,61.9
3.8774300000000004,7.461069999999999,1.4,243.0
3.05871,6.2106,3.3,248.0
3.9120199999999996,7.61481,2.7,178.0
3.96651,5.43808,1.6,96.0
4.28496,7.43248,4.1,61.6
4.17746,5.20949,1.1,219.5
4.26549,6.758089999999999,1.6,262.9
4.01096,6.5820300000000005,1.8,64.2
3.15274,5.82305,4.3,203.0
4.1957,8.12415,2.8,209.0
3.5293,4.7362,2.4,80.0
4.38701,7.89283,3.0,75.3
2.9338599999999997,7.99564,5.4,234.0
3.2657599999999998,4.92725,2.2,82.0
2.83321,5.15329,1.5,179.0
4.13357,7.7823899999999995,6.5,41.1
3.80444,7.708410000000001,3.1,79.0
4.1239,8.238539999999999,5.4,58.2
4.75359,7.82844,0.8,87.7
4.40305,7.683860000000001,4.7,58.2
2.71469,7.70075,7.3,216.0
2.8792,5.2575,8.3,218.0
3.3499,7.97728,2.8,194.0
4.12713,5.42935,2.5,352.0
4.4964699999999995,7.275860000000001,1.3,85.0
3.8480199999999996,7.5761,5.0,82.0
3.42426,7.8216399999999995,3.1,259.3
4.07244,8.176110000000001,3.0,222.5
4.33336,8.14148,4.0,79.0
4.26127,7.53636,1.7,250.0
5.23644,8.16934,1.9,83.0
4.07414,8.08672,3.1,77.0
4.20469,7.06647,3.0,90.0
3.54385,7.71065,3.7,136.4
3.81331,5.61313,2.9,74.0
3.17388,8.052610000000001,6.8,280.1
4.22244,7.465660000000001,9.6,264.3
3.8774300000000004,7.787380000000001,8.1,220.0
4.00186,7.96555,3.9,78.0
3.2308,5.99645,2.6,82.0
4.0926800000000005,8.27053,1.4,248.3
3.1354900000000003,4.90527,3.9,78.1
4.207669999999999,5.97635,0.8,67.7
4.237,7.6482600000000005,2.9,85.3
3.31419,7.0255399999999995,2.9,222.2
4.18662,7.620710000000001,4.7,61.4
3.81331,5.69373,1.2,76.0
4.1447199999999995,7.74414,4.2,59.0
2.87356,6.40688,2.1,146.8
5.02651,7.8808,2.2,158.0
1.70475,5.1119900000000005,4.2,55.0
2.8792,7.17855,5.0,76.2
3.72086,5.09987,3.0,78.0
3.36038,4.45435,5.3,67.0
3.8111,7.6516,1.5,248.0
3.9160199999999996,5.7525699999999995,0.9,293.0
3.72569,6.54965,4.2,78.8
5.13049,7.26543,1.3,114.0
4.90602,8.19699,3.4,81.1
3.72569,5.07517,0.6,103.7
3.35341,8.039480000000001,5.1,338.0
4.31348,8.1371,2.2,246.6
2.41591,6.85435,5.0,65.9
4.50424,7.51915,3.4,44.1
2.36085,4.5326,2.7,77.5
3.48431,4.8598099999999995,3.1,73.0
4.08429,7.55538,5.3,59.0
5.37389,6.31355,0.9,82.5
4.16044,6.31536,2.5,62.3
3.88156,7.52618,3.0,75.0
4.08092,7.74803,6.0,180.0
3.23868,6.93049,2.3,193.0
4.17131,4.762169999999999,0.3,112.5
5.58237,7.70481,0.6,220.0
2.4248,5.68698,1.2,286.6
4.3108,7.63916,4.2,58.6
4.32678,7.67508,1.7,249.0
2.5096,5.3033,2.8,76.0
4.38203,7.156960000000001,1.7,90.0
3.71601,7.9858199999999995,4.2,77.0
4.2032,7.973839999999999,1.7,165.0
4.31749,7.745439999999999,6.7,56.6
3.30689,5.50939,5.4,88.0
4.01818,5.70044,1.2,185.0
3.27714,5.6204,3.5,70.9
3.27336,7.029089999999999,2.8,75.5
3.9219699999999995,7.9305699999999995,2.6,50.4
4.06044,7.59488,2.9,77.0
2.99573,7.233460000000001,6.1,62.9
4.07923,7.606389999999999,5.4,54.9
4.17285,7.8567100000000005,3.5,77.0
4.09101,7.59085,6.1,238.0
2.77882,4.86753,3.0,217.0
4.2485,8.20303,3.3,51.9
2.59525,5.90808,3.8,48.5
3.1354900000000003,5.40268,0.9,68.4
3.06805,6.55393,2.8,241.0
4.10594,8.000010000000001,4.6,215.0
3.2068,7.424760000000001,4.9,78.9
4.10099,7.44366,5.1,47.9
3.6988300000000005,7.5842600000000004,2.1,214.5
3.2846599999999997,7.7878,2.7,82.0
3.7495,7.999339999999999,2.6,194.0
3.8155099999999997,7.0884100000000005,1.1,295.0
3.9721800000000003,7.12125,1.5,65.4
4.92435,8.05769,1.3,152.0
2.89037,7.76853,4.5,285.1
3.79549,7.041410000000001,2.7,73.0
2.5416,5.96871,2.0,153.2
2.4248,6.818919999999999,3.8,58.5
4.32546,8.18228,2.1,177.0
3.32504,7.216710000000001,3.5,56.1
3.9740599999999997,7.784889999999999,2.1,219.9
5.329330000000001,4.67283,0.5,257.4
1.7404700000000002,4.31749,2.3,75.0
4.50092,8.16138,1.7,69.0
4.3412,8.22604,2.5,87.0
3.7909800000000002,7.8022100000000005,5.0,135.0
3.83945,7.170889999999999,2.6,69.4
4.50314,7.888330000000001,1.1,34.9
4.36691,7.657760000000001,1.9,265.0
3.7013,7.40428,3.4,43.1
4.75875,7.6857,1.8,269.0
4.56954,8.083639999999999,1.4,242.3
1.2237799999999999,6.16331,3.9,30.9
6.39509,7.57302,0.8,87.2
4.2413300000000005,7.02376,2.9,82.1
4.57883,7.972810000000001,4.2,81.0
3.9376900000000004,5.8141300000000005,2.1,79.0
3.9298599999999997,6.608,0.6,191.4
3.3357699999999997,7.35628,2.4,76.6
2.95491,7.305860000000001,1.6,279.2
3.55535,5.1119900000000005,1.1,48.0
2.69463,5.56834,1.6,220.0
4.32678,6.563860000000001,2.1,192.9
4.88129,7.841889999999999,2.9,279.0
4.56539,7.67555,1.3,82.1
4.20916,8.31066,3.4,200.3
3.21888,5.52545,5.0,70.0
2.6532400000000003,5.54908,2.0,75.1
4.34251,8.064010000000001,2.3,9.4
3.64545,5.09987,4.3,183.8
1.54756,5.49306,5.4,255.0
4.18205,7.7411,2.7,85.4
4.1494599999999995,8.3464,2.4,230.0
3.80444,7.91206,3.3,219.0
4.07923,7.609369999999999,3.9,74.3
3.14845,6.767339999999999,3.3,76.3
4.24276,7.6172699999999995,3.7,217.8
2.61007,5.8021199999999995,1.0,299.0
3.1945799999999998,4.55388,3.9,195.5
3.81331,7.57763,2.8,85.0
3.77046,8.06746,2.6,244.4
2.76632,5.66643,2.1,226.8
3.21084,5.49717,4.4,254.0
3.37417,8.07527,5.3,10.5
3.72086,8.02027,4.3,17.0
4.762169999999999,7.6024,2.8,76.0
4.0145800000000005,8.25635,3.1,225.0
4.304069999999999,7.24708,5.5,62.5
3.17805,7.93272,4.0,78.4
1.3609799999999999,4.39445,4.4,115.0
4.40916,7.66856,1.6,65.3
4.028919999999999,7.26613,0.9,90.0
2.89037,7.706160000000001,6.3,44.4
3.88156,8.11851,7.1,74.6
4.51852,7.753189999999999,1.5,238.8
4.01096,7.65207,4.2,100.0
3.7424199999999996,7.66011,3.5,90.8
3.71601,7.59035,6.4,235.0
2.85071,6.70564,2.4,75.5
4.51305,8.17132,3.5,79.0
3.9945199999999996,7.762169999999999,6.2,221.0
2.40695,7.226210000000001,3.8,52.0
3.9120199999999996,7.53423,1.7,336.0
4.45899,7.49165,2.0,77.3
3.7887199999999996,7.83953,2.5,243.6
3.9219699999999995,7.61874,2.1,81.0
3.16969,7.82724,3.5,254.1
4.46245,7.59589,1.3,159.1
2.9285200000000002,4.812180000000001,1.9,204.2
5.78105,7.872839999999999,1.2,97.0
1.28093,5.65948,3.9,46.5
4.09101,8.042060000000001,1.2,261.0
3.62966,7.1577399999999995,1.6,65.0
3.37759,6.2441699999999996,1.5,196.9
5.54713,8.14206,1.5,237.0
2.6390599999999997,4.49981,3.6,68.0
3.9926800000000005,6.575080000000001,1.3,226.0
3.66099,4.6443900000000005,1.9,88.0
2.8273099999999998,4.98361,4.3,78.0
4.29592,7.723560000000001,0.7,216.6
4.94876,7.7613199999999996,0.7,147.7
2.68785,6.18002,4.8,215.0
4.0483,7.21598,2.1,90.1
3.3286300000000004,5.50939,2.2,37.4
4.139959999999999,4.99043,2.3,277.0
3.7424199999999996,7.0422899999999995,2.5,73.0
4.280819999999999,7.35308,1.1,77.0
2.7972799999999998,4.12713,5.6,213.5
3.65584,7.7698,2.5,237.2
4.02535,7.58731,3.4,354.0
3.4404199999999996,5.63835,1.0,61.0
4.42485,7.64204,2.6,249.5
3.94352,5.26269,1.1,271.0
4.21804,7.25205,2.4,63.0
3.44999,5.19296,2.7,86.0
2.52573,7.31986,3.4,41.5
4.4705,7.6806399999999995,1.3,221.8
4.18205,8.1568,5.1,57.2
3.17388,6.947939999999999,0.6,97.0
4.62399,7.14204,2.1,85.0
2.73437,5.0626,2.5,81.7
3.2581,6.13123,8.4,209.9
3.22684,6.858569999999999,3.1,86.0
2.98062,5.39816,1.3,208.0
3.84374,5.14749,1.3,77.0
4.26127,8.167069999999999,4.8,61.0
3.3978599999999997,6.6174,3.9,67.0
3.39451,7.43248,2.0,201.4
4.36437,7.76302,2.0,273.4
2.2617599999999998,5.42495,3.8,79.0
3.4404199999999996,7.127689999999999,4.2,235.0
4.12713,7.419980000000001,3.0,82.0
2.98062,6.89163,1.0,334.0
3.65066,7.9724699999999995,3.7,16.0
4.25135,7.75018,1.8,266.3
3.6584199999999996,7.42536,5.8,184.6
3.9908300000000003,7.637230000000001,4.1,72.5
4.44147,6.551080000000001,2.8,82.5
2.28238,4.98361,3.5,121.0
3.9279,6.575080000000001,0.8,262.7
3.3569,7.092569999999999,3.4,194.0
4.18814,7.83201,0.6,99.7
4.2017,7.55329,1.1,92.0
2.41591,7.23778,4.2,233.0
4.33336,8.20084,2.4,84.0
1.58924,5.81711,3.8,33.0
4.0483,8.264619999999999,2.6,69.1
2.6532400000000003,5.05625,3.2,67.0
4.06732,7.73193,4.2,77.9
3.86283,5.9939599999999995,1.7,209.1
3.98155,7.6410800000000005,2.3,247.0
3.81331,7.74587,2.1,146.0
4.31615,5.14749,1.7,184.0
3.33932,5.66643,2.4,66.1
3.96651,7.34923,1.9,77.0
3.86073,4.45435,4.2,80.0
2.56495,4.584969999999999,2.3,59.0
4.30946,7.68202,5.0,78.0
2.94444,6.52942,6.5,210.0
4.17439,7.757910000000001,4.6,214.0
2.95491,5.78996,0.5,108.5
4.03247,8.162230000000001,5.9,207.0
